id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
08010115,483,27,84,192,96,53,23,8,67,1625,412,30,397,470,–,–,–,–,–,30,397,470,8010115
08010116,2029,428,455,696,330,87,25,8,66,5397,1239,110,1184,1950,2,3,3,5,6,105,1176,1942,8010116
08010117,8923,505,2856,3640,1380,433,79,30,229,25525,5406,570,5332,8830,3,2,–,–,–,567,5330,8827,8010117
08010118,6278,526,1690,2548,1134,262,85,33,255,18161,4039,404,4018,6249,7,6,3,5,6,394,4008,6236,8010118
08010211,4990,193,1355,2085,949,307,78,23,181,15138,3377,317,3225,4737,2,2,3,4,6,312,3219,4729,8010211
08010212,3428,448,1150,1189,475,127,26,13,121,9127,2330,205,2277,3354,5,8,1,2,2,199,2267,3347,8010212
08010213,6389,336,1991,2365,1238,352,86,21,168,18809,4076,471,4012,6298,1,1,–,–,–,470,4011,6297,8010213
08010214,4023,342,801,1667,914,213,60,26,195,12221,2593,381,2486,3869,23,23,2,6,4,356,2458,3842,8010214
08010301,14994,987,4144,5896,2795,895,190,87,690,44448,9922,1014,9755,14785,8,6,4,5,8,1002,9743,14769,8010301
08010302,2315,21,534,973,632,139,14,2,15,7330,1413,171,1407,2300,–,–,–,–,–,171,1407,2300,8010302
08010303,4180,275,1003,1671,849,296,63,23,189,12737,2765,284,2682,4063,10,8,1,1,2,273,2673,4051,8010303
08010404,11655,565,2953,4616,2517,741,198,65,516,35796,7916,860,7717,11387,31,35,10,21,20,819,7662,11336,8010404
08010405,4608,148,972,1874,1143,415,44,12,95,14720,3012,343,3011,4607,2,1,1,2,2,340,3008,4603,8010405
08010406,3468,95,923,1552,682,190,20,6,52,10447,2077,235,2008,3355,4,5,1,1,2,230,2002,3349,8010406
08010407,473,37,121,204,82,26,3,–,–,1367,279,20,275,469,–,–,–,–,–,20,275,469,8010407
08010508,2400,153,319,286,646,822,163,11,83,9404,1501,166,1468,2262,41,46,5,8,10,120,1414,2211,8010508
08010509,3960,387,1207,1095,951,284,33,3,22,11530,2491,510,2384,3733,184,180,14,20,28,312,2183,3521,8010509
08010510,174,41,47,48,20,7,7,4,35,471,124,21,93,146,2,1,4,9,8,15,83,136,8010510
08020619,5695,433,1404,2188,1160,396,80,34,319,17224,3499,689,3362,5420,158,147,16,29,32,515,3187,5230,8020619
08020620,4872,250,1063,2123,1170,196,41,29,231,14882,3065,500,3015,4722,40,48,14,26,28,446,2941,4654,8020620
08020621,997,3,30,144,255,264,178,123,965,4868,1079,756,1074,991,663,803,49,91,98,44,180,230,8020621
08020622,7884,205,2226,3152,1366,530,345,60,462,24759,5048,2066,5001,7803,1184,1121,67,90,134,815,3790,6485,8020622
08020623,593,3,197,163,138,55,30,7,54,1947,435,219,422,577,155,126,3,10,6,61,287,416,8020623
08020624,640,–,4,245,154,181,33,23,191,2653,552,324,548,638,270,332,9,16,18,45,199,350,8020624
08020625,1908,161,607,283,335,272,159,91,694,6572,1337,788,1326,1895,713,770,24,45,48,51,511,1134,8020625
08020726,4276,147,648,1310,1276,529,199,167,1284,15600,3352,1662,3327,4247,1217,1307,77,137,154,368,1882,2876,8020726
08020727,5811,127,844,1492,1809,1064,333,142,1100,21945,4458,1439,4349,5594,928,1058,61,119,122,450,3172,4544,8020727
08020728,4645,416,1129,942,1368,481,160,149,1170,15507,3248,1093,3229,4615,833,948,58,106,116,202,2175,3666,8020728
08030829,6336,337,1455,1907,2091,481,34,31,247,20188,4274,398,4273,6335,83,111,3,6,6,312,4157,6246,8030829
08030830,4256,488,1095,1710,781,149,26,7,66,11899,2815,194,2814,4255,8,10,2,4,4,184,2800,4243,8030830
08030831,8696,185,1628,2943,2857,1003,65,15,122,29225,6050,294,6003,8615,47,48,–,–,–,247,5954,8568,8030831
08040932,1504,2,337,265,628,223,48,1,7,5393,1047,85,956,1321,2,3,–,–,–,83,953,1319,8040932
08040933,2122,76,219,668,665,270,132,92,721,8041,1687,662,1666,2096,423,521,63,125,126,176,1020,1547,8040933
08040934,1248,23,140,314,343,200,123,105,824,5179,1137,591,1132,1241,450,559,59,116,118,82,457,673,8040934
08041035,3554,77,205,571,906,907,518,370,2986,16453,3697,2597,3617,3468,2182,2609,269,488,538,146,520,748,8041035
08041036,3059,9,138,576,810,797,424,305,2369,14151,3030,2161,2989,3007,1866,2109,181,334,362,114,545,779,8041036
08041037,5098,125,744,1349,1487,795,369,229,1829,19626,4115,1976,4071,5050,1420,1619,192,343,384,364,2109,3246,8041037
08041038,3239,11,375,623,753,762,431,284,2232,14270,3151,2043,3141,3227,1745,2055,192,366,384,106,720,1098,8041038
08041039,1720,6,154,1055,296,131,65,13,93,5801,1239,327,1231,1710,165,183,2,6,4,160,1042,1541,8041039
08041040,3523,36,336,848,1027,765,362,149,1165,14522,3068,1434,3052,3506,1116,1205,97,179,194,221,1669,2196,8041040
