id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
09010101,Elsenstraße,6211,331,1795,2357,1139,458,85,46,378,18726,4105,468,4062,6152,18,19,3,6,6,447,4037,6128,9010101
09010102,Am Treptower Park Nord,26,–,3,14,2,4,–,3,22,98,24,7,23,24,3,3,1,3,2,3,17,19,9010102
09010201,Am Treptower Park Süd,2223,18,360,577,817,330,87,34,252,8161,1729,228,1662,2155,–,–,2,4,4,226,1658,2151,9010201
09010202,Köpenicker Landstraße,4563,218,1352,1955,774,233,24,7,58,13250,2395,530,2395,4562,58,59,2,3,4,470,2333,4500,9010202
09010301,Baumschulenstraße,9193,214,2110,3290,2661,810,76,32,241,29695,5678,1061,5640,9141,63,78,9,16,18,989,5546,9060,9010301
09010302,Späthsfelde,1122,1,37,153,306,335,193,97,753,5344,1191,1008,1184,1116,938,1038,54,96,108,16,50,70,9010302
09010401,Johannisthal West,4487,116,577,1789,1542,303,108,52,403,15371,2928,1042,2917,4477,576,577,35,58,70,431,2283,3831,9010401
09010402,Johannisthal Ost,5748,225,1178,2021,1336,567,258,163,1258,19629,4287,1446,4209,5654,821,1035,69,128,138,556,3046,4695,9010402
09020501,Oberschöneweide West,3314,152,862,1449,609,165,36,41,311,10011,2181,442,2142,3262,172,163,4,6,8,266,1973,3082,9020501
09020502,Oberschöneweide Ost,8125,285,1060,3813,2442,428,68,29,256,26416,5121,890,5019,7954,65,64,8,18,16,817,4937,7873,9020502
09020601,Schnellerstraße,3884,87,668,1584,1119,391,28,7,61,12835,2581,392,2508,3806,8,12,–,–,–,384,2496,3798,9020601
09020602,Oberspree,1972,92,202,791,573,213,68,33,248,6882,1314,630,1272,1854,473,430,12,19,24,145,822,1357,9020602
09020701,Adlershof West,296,144,33,34,41,19,1,24,304,881,199,43,175,228,32,24,1,2,2,10,150,194,9020701
09020702,Adlershof Ost,9333,288,2074,3560,2287,829,190,105,841,30390,6175,1974,6067,9218,965,913,63,106,126,946,5047,8127,9020702
09020801,Spindlersfeld,1671,15,132,651,679,119,45,30,229,6042,1118,281,1111,1666,102,124,21,34,42,158,954,1522,9020801
09020802,Köllnische Vorstadt,4291,117,653,1472,1552,415,22,60,487,14741,2802,516,2754,4204,97,115,16,38,32,403,2600,4075,9020802
09030901,Dorf Altglienicke,5693,189,324,1173,1612,1342,692,361,2783,24449,5221,3576,5124,5465,3073,3363,209,368,418,294,1393,1974,9030901
09030902,Wohngebiet II,2807,63,658,645,983,414,43,1,9,9583,1780,140,1727,2704,–,–,–,–,–,140,1727,2704,9030902
09030903,Kölner Viertel,3497,5,841,1392,537,396,235,91,719,12120,2842,1281,2839,3494,950,1025,37,69,74,294,1746,2470,9030903
09031001,Bohnsdorf,5740,96,364,1409,1415,1383,747,326,2545,24653,5090,3808,5024,5649,3212,3364,285,482,570,311,1179,1867,9031001
09031101,Grünau,3167,91,439,790,1074,486,156,131,1054,12055,2474,920,2441,3130,549,653,65,128,130,306,1660,2451,9031101
09031201,Karolinenhof,860,7,43,173,216,200,140,81,656,3972,916,639,910,852,547,647,51,97,102,41,166,203,9031201
09031202,Schmöckwitz/Rauchfangswerder,1151,8,97,193,305,266,153,129,1033,5282,1212,857,1187,1111,741,884,75,134,150,41,169,220,9031202
09041301,Kietzer Feld/Nachtheide,7858,100,749,2242,3058,1163,393,153,1204,29933,5512,2115,5490,7828,1543,1631,84,143,168,488,3716,6117,9041301
09041302,Wendenschloß,925,–,45,226,316,169,90,79,646,4063,968,394,967,923,245,352,57,111,114,92,504,564,9041302
09041401,Allende I,2654,334,490,967,675,120,54,14,122,7961,1780,143,1737,2448,49,59,5,12,10,89,1666,2389,9041401
09041402,Allende II,738,1,79,140,234,209,46,29,219,3055,609,343,607,736,286,286,11,22,22,46,300,428,9041402
09041501,Altstadt Kietz,3891,72,566,1404,1296,459,66,28,223,13514,2642,464,2589,3830,67,90,27,55,54,370,2444,3709,9041501
09041601,Müggelheim,3044,11,177,646,905,689,415,201,1594,13452,3004,2436,2979,3014,2189,2324,154,276,308,93,379,517,9041601
09051701,Hirschgarten,2128,142,78,598,958,226,81,45,352,7892,1465,454,1415,1966,162,206,31,61,62,261,1148,1742,9051701
09051702,Bölschestraße,7692,107,644,2461,2982,1034,286,178,1417,29009,5786,1767,5631,7493,702,799,181,358,362,884,4474,6429,9051702
09051801,Rahnsdorf/Hessenwinkel,4257,22,275,832,1143,969,594,422,3314,19363,4401,3093,4314,4115,2601,3006,309,594,618,183,714,896,9051801
09051901,Dammvorstadt,6080,141,1036,2360,1918,500,100,25,207,20272,4295,715,4208,5953,92,110,15,26,30,608,4072,5831,9051901
09052001,Köpenick Nord,7197,91,484,1978,2792,1142,425,285,2252,28673,5372,2559,5284,7060,1680,1896,173,296,346,706,3091,5034,9052001
