district_name,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
Mitte,191835,605243,3.2,129342,67.4
Friedrichshain-Kreuzberg,149321,470209,3.1,102540,68.7
Pankow,211981,732059,3.5,154163,72.7
Charlottenburg-Wilmersdorf,182968,635782,3.5,143476,78.4
Spandau,118272,427069,3.6,87460,73.9
Steglitz-Zehlendorf,155591,598075,3.8,132476,85.1
Tempelhof-Schöneberg,180862,625061,3.5,135385,74.9
Neukölln,162499,533709,3.3,113258,69.7
Treptow-Köpenick,135838,487773,3.6,99197,73
Marzahn-Hellersdorf,134050,500489,3.7,95752,71.4
Lichtenberg,149404,519858,3.5,97966,65.6
Reinickendorf,130054,486057,3.7,100473,77.3
